lh_or_rh,height,pitchtype,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,185.0,1.0,1.000,0.500,0.000,0.800,1.000,0.250,0.533,0.368,0.438,1.000,0.500,0.500,0.500,0.381,0.333,0.333,0.200,0.750,0.300,0.727,0.000,0.500,0.333,0.250,1.000
1,185.0,2.0,0.286,0.000,1.000,0.000,0.909,0.000,1.000,0.000,0.500,1.0,1.000,0.419,1.000,1.000,0.429,0.000,0.000,0.556,0.308,0.706,0.0,0.4,0.4,0.333,1.0
1,185.0,3.0,0.167,0.000,0.250,0.667,1.000,0.667,0.400,0.600,0.000,1.0,0.500,0.500,0.333,1.000,0.500,0.500,0.000,0.250,0.308,0.706,0.0,0.000,0.000,0.333,1.000
1,185.0,4.0,0.250,0.571,0.000,0.000,1.000,0.444,0.417,0.385,0.250,1.000,0.286,0.333,0.400,0.200,0.000,0.333,0.333,0.000,0.000,0.667,0.0,0.000,0.333,0.333,1.0
1,185.0,5.0,0.000,0.000,0.000,0.429,1.000,0.333,0.500,1.000,0.000,1.0,0.500,0.167,0.000,0.750,1.000,1.000,1.000,1.000,0.308,0.706,0.0,0.000,0.4,1.000,1.000
1,185.0,6.0,0.000,0.500,0.250,0.429,0.000,0.000,0.000,1.000,0.500,1.000,0.000,0.419,0.333,0.500,0.000,0.000,1.000,0.500,0.308,1.000,0.0,1.000,1.000,0.333,1.0
1,185.0,0.0,0.433,0.3,0.35,0.000,0.833,0.406,0.32,0.481,0.000,1.000,0.429,0.472,0.526,0.667,1.000,0.462,0.406,1.000,0.200,0.000,1.0,0.625,0.429,0.000,0.714
1,185.0,1.0,1.000,0.875,0.667,0.250,1.000,0.636,0.471,0.379,0.345,0.667,0.500,0.600,0.636,0.441,1.000,0.500,0.444,0.500,0.389,0.750,1.000,0.571,0.400,0.600,0.667
1,185.0,2.0,0.000,0.000,0.35,0.083,0.833,0.000,0.333,1.000,0.296,0.6,0.429,0.500,0.526,0.472,0.833,0.462,0.000,0.436,0.276,0.000,1.000,0.625,0.429,0.556,0.714
1,185.0,3.0,0.167,0.000,0.500,0.000,0.833,0.333,0.091,0.625,0.667,0.000,1.000,0.333,1.000,0.667,0.833,0.462,0.000,0.429,0.000,0.000,1.000,0.625,0.000,1.000,1.000
1,185.0,4.0,0.778,0.111,0.250,0.000,0.500,0.444,0.375,0.478,0.400,0.000,0.200,0.143,0.250,0.500,0.833,0.000,0.500,0.200,0.000,0.563,1.0,1.000,0.429,0.556,0.714
1,185.0,5.0,0.000,0.500,0.333,0.000,0.833,0.000,0.000,0.556,0.000,1.000,0.000,1.000,0.333,0.667,0.000,0.462,0.500,0.667,0.276,0.563,1.000,0.625,1.000,0.556,0.000
1,185.0,6.0,0.444,0.000,0.000,0.083,1.000,0.000,0.32,0.400,0.000,0.6,0.429,0.667,0.333,0.472,0.833,0.462,0.333,0.000,0.000,0.563,1.000,0.625,0.429,0.500,0.714
1,185.0,0.0,0.6,0.500,0.500,1.000,0.818,0.346,0.500,0.600,0.000,0.333,0.000,1.000,0.500,0.286,0.000,0.467,0.351,1.000,0.233,0.667,0.889,0.667,0.368,0.4,1.000
1,185.0,1.0,1.000,0.500,0.857,0.700,1.000,0.500,0.615,0.500,0.400,0.333,0.429,0.364,0.533,0.250,0.500,0.571,0.294,0.231,0.167,0.900,0.750,0.625,0.375,0.250,0.900
1,185.0,2.0,0.6,0.000,0.429,0.000,0.818,0.346,1.000,0.500,0.385,0.333,0.348,0.500,0.406,0.333,0.462,0.467,0.000,0.000,0.233,0.867,1.000,0.667,0.000,0.4,0.867
1,185.0,3.0,0.250,0.250,0.286,0.500,1.000,0.167,0.400,0.600,1.000,1.000,0.000,0.800,0.400,1.000,0.462,0.000,0.429,0.400,1.000,0.867,0.889,1.000,1.000,0.500,0.867
1,185.0,4.0,1.000,0.000,0.333,0.667,0.500,0.250,0.083,0.286,0.333,0.000,0.364,0.400,0.250,0.500,1.000,0.000,0.375,0.400,1.000,0.867,1.000,0.667,0.368,0.333,0.867
1,185.0,5.0,0.500,0.333,0.429,0.500,0.818,0.333,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.500,1.000,0.750,0.500,1.000,0.000,0.867,1.000,0.667,0.368,0.4,0.867
1,185.0,6.0,0.333,0.000,0.286,1.000,0.500,0.346,1.000,0.000,0.500,0.333,1.000,0.000,0.406,0.333,0.000,0.467,0.351,0.000,0.233,1.000,0.889,0.667,0.000,0.4,1.000
1,183.0,0.0,0.8,0.0,0.714,0.0,1.0,0.125,0.000,0.091,0.0,0.000,0.222,0.000,1.000,0.500,0.5,0.5,0.4,1.000,0.125,0.000,1.0,1.000,0.5,0.42416666666666664,1.0
1,183.0,1.0,1.000,0.0,1.000,0.0,1.000,0.000,0.429,0.000,0.000,0.5,0.333,0.000,0.400,0.250,0.500,0.500,1.000,0.000,0.000,1.000,1.000,0.5,0.500,0.42416666666666664,1.000
1,183.0,3.0,0.8,0.000,0.000,0.000,1.0,0.000,0.333,0.000,0.000,0.5,0.000,0.000,0.200,0.455,0.5,0.5,0.4,0.333,0.000,0.5,1.0,0.5,0.5,0.42416666666666664,1.000
1,183.0,4.0,1.000,0.0,0.714,0.0,1.0,0.000,0.500,0.333,0.000,0.5,0.500,0.250,0.500,0.500,0.000,0.5,0.000,0.400,0.000,0.5,1.0,0.5,0.5,0.42416666666666664,1.0
1,183.0,5.0,0.000,0.000,1.000,0.0,1.0,0.000,1.000,0.000,0.0,1.000,0.000,0.000,0.000,1.000,1.000,1.000,0.4,0.333,0.000,0.5,1.0,0.000,0.5,0.42416666666666664,1.0
1,183.0,6.0,0.8,0.0,1.000,0.0,1.0,1.000,0.429,0.000,0.0,0.5,0.222,0.500,0.000,0.000,0.5,0.000,1.000,0.333,0.500,0.5,1.0,0.5,0.5,0.42416666666666664,1.0
0,184.0,0.0,0.5,0.5,0.2,0.333,1.000,1.000,1.000,0.0,0.000,1.000,0.0,0.000,0.35,0.333,0.167,0.0,0.0,0.222,0.000,1.000,1.0,0.3154347826086957,0.0,0.3154347826086957,1.0
0,184.0,1.0,0.5,1.000,0.000,0.333,0.5,0.000,0.250,0.000,0.200,0.500,0.000,0.000,0.500,0.400,0.000,0.000,0.000,0.333,0.000,0.600,1.0,0.3154347826086957,0.000,0.3154347826086957,1.000
0,184.0,3.0,0.5,1.000,0.500,0.333,0.5,0.5,1.000,0.000,0.182,0.333,0.0,0.0,0.000,0.000,0.167,0.0,0.0,0.000,0.0,0.000,1.0,0.3154347826086957,0.0,0.3154347826086957,1.0
0,184.0,4.0,0.000,0.000,0.000,1.000,0.5,0.5,0.5,0.0,0.111,0.000,0.0,0.000,0.333,0.333,0.167,0.0,0.0,0.000,0.0,1.000,1.0,0.3154347826086957,0.0,0.3154347826086957,1.0
0,184.0,5.0,1.000,0.5,0.2,0.000,0.000,0.5,0.5,0.000,0.250,0.000,0.0,0.0,0.000,0.667,0.000,0.0,0.0,0.222,0.0,0.6,1.0,0.3154347826086957,0.0,0.3154347826086957,1.0
0,184.0,6.0,0.5,0.000,0.2,0.333,0.5,0.5,0.5,0.000,0.500,0.000,0.000,0.000,0.000,0.250,1.000,0.0,0.0,0.222,0.0,0.500,1.0,0.3154347826086957,0.0,0.3154347826086957,1.0
0,185.0,0.0,0.667,0.5,0.375,0.000,1.000,0.3602272727272728,0.429,1.000,0.182,0.333,0.0,0.000,0.000,0.000,0.000,1.0,0.0,0.667,0.0,0.3602272727272728,0.3602272727272728,0.0,0.5,0.000,0.000
0,185.0,1.0,1.000,0.5,1.000,1.000,0.5,0.3602272727272728,0.400,0.000,0.000,0.000,0.000,0.500,0.375,0.200,0.333,1.000,0.000,1.000,0.000,0.3602272727272728,0.3602272727272728,0.0,1.000,1.000,1.000
0,185.0,3.0,0.667,0.5,0.000,0.286,0.5,0.3602272727272728,0.429,0.2,0.182,0.333,0.0,0.000,0.000,0.500,0.25,1.0,0.000,0.667,0.0,0.3602272727272728,0.3602272727272728,0.000,0.5,0.5,0.833
0,185.0,4.0,0.500,1.000,0.375,0.500,0.000,0.3602272727272728,0.429,0.2,0.182,0.333,0.0,0.286,0.25,0.000,0.25,1.0,0.0,0.667,0.0,0.3602272727272728,0.3602272727272728,0.0,0.000,0.5,0.833
0,185.0,5.0,0.667,0.5,0.000,0.000,0.5,0.3602272727272728,1.000,0.000,0.500,0.000,0.0,0.286,0.25,0.333,0.25,1.000,0.000,0.000,0.000,0.3602272727272728,0.3602272727272728,0.0,0.5,0.5,1.000
0,185.0,6.0,0.667,0.000,0.500,0.286,0.5,0.3602272727272728,0.000,0.000,0.250,0.333,0.0,0.286,0.25,0.000,0.25,1.0,0.0,0.667,0.0,0.3602272727272728,0.3602272727272728,0.0,0.5,0.5,0.833
0,177.0,0.0,0.667,0.389,0.424,1.000,0.222,0.000,0.261,0.500,1.000,0.429,0.000,0.200,0.400,0.500,1.000,0.571,0.000,0.000,0.276,0.625,1.000,0.000,0.545,0.429,0.625
0,177.0,1.0,1.000,1.000,0.800,0.000,0.222,0.667,0.333,0.370,0.222,0.667,0.400,0.471,0.615,0.091,0.667,0.571,0.400,0.481,0.211,0.750,1.000,0.125,0.444,0.250,0.833
0,177.0,2.0,0.000,0.389,0.000,0.25,0.000,0.556,0.261,1.000,0.000,0.429,0.429,0.000,0.432,0.000,0.625,0.571,0.333,0.000,0.276,0.625,1.000,0.286,0.545,0.000,0.625
0,177.0,3.0,1.000,0.250,0.667,0.333,0.000,1.000,0.500,0.286,0.258,0.429,0.429,0.333,1.000,0.000,0.625,0.571,0.000,0.000,0.333,0.625,1.000,1.000,0.545,1.000,0.000
0,177.0,4.0,1.000,0.167,0.571,0.500,0.500,0.556,0.167,0.333,0.182,0.400,1.000,0.357,0.250,0.000,0.500,0.571,0.400,0.000,1.000,0.500,1.000,0.667,1.000,0.429,0.625
0,177.0,5.0,0.000,1.000,0.400,0.250,0.222,0.556,0.000,0.333,0.400,0.250,0.429,0.375,0.500,0.667,0.000,0.571,0.355,0.000,0.000,0.000,0.875,0.000,0.545,0.429,0.625
0,177.0,6.0,0.000,0.000,0.167,0.100,0.000,0.000,0.000,0.333,0.333,0.500,0.429,0.375,0.000,0.000,1.000,0.571,0.355,0.000,0.500,1.000,0.000,0.286,0.545,0.429,0.625
0,177.0,0.0,0.333,0.444,0.19,0.211,0.0,1.000,1.000,0.500,0.000,0.308,0.0,0.000,0.000,0.500,0.313,0.75,0.214,0.000,0.250,0.125,1.0,1.0,0.000,0.333,1.0
0,177.0,1.0,0.333,1.000,0.667,0.500,0.000,0.667,0.667,0.000,0.412,0.250,0.000,0.273,0.200,0.350,0.500,0.750,0.300,0.000,0.600,0.000,1.000,1.000,0.333,0.250,1.000
0,177.0,2.0,0.333,0.444,0.19,0.211,0.0,0.500,0.4,0.000,0.333,0.000,0.0,0.500,0.000,0.317,1.000,0.75,0.000,0.0,1.000,0.125,1.0,1.0,0.273,0.333,1.0
0,177.0,3.0,1.000,0.500,0.000,0.500,0.0,0.667,0.500,0.667,0.000,0.000,0.0,0.200,0.250,0.200,0.250,0.75,0.000,0.000,0.500,0.000,1.0,1.0,0.000,0.000,1.000
0,177.0,4.0,0.250,0.000,0.333,0.000,0.000,0.667,0.333,0.500,0.200,0.333,0.000,0.000,0.000,0.143,0.333,0.75,0.000,0.0,0.600,1.000,1.0,1.0,0.273,0.333,1.0
0,177.0,5.0,0.000,0.000,0.000,0.143,0.000,0.667,0.250,0.500,0.400,0.667,0.0,0.227,0.667,0.250,0.000,0.75,0.214,0.000,0.000,0.000,1.0,1.0,0.273,1.000,1.0
0,177.0,6.0,0.333,0.500,0.167,0.250,0.0,0.667,0.000,0.500,0.333,0.000,0.0,0.227,0.25,0.667,0.000,0.75,0.000,0.000,1.000,0.000,1.0,1.0,0.273,0.333,1.0
1,187.0,0.0,0.571,0.286,0.0,0.714,1.0,1.000,0.143,0.273,1.000,0.6,0.000,0.500,0.429,0.000,0.000,1.000,0.3,1.000,0.286,0.4,0.3837916666666667,1.000,0.5,0.5,0.0
1,187.0,1.0,0.571,0.333,0.000,0.667,1.000,0.667,0.143,0.167,0.250,0.600,0.500,0.111,0.250,0.500,0.000,0.000,0.500,0.143,0.286,0.250,0.3837916666666667,0.000,1.000,0.500,0.000
1,187.0,2.0,0.000,0.286,0.0,0.714,1.0,0.000,0.143,0.273,0.000,0.6,0.000,0.111,0.000,0.471,0.0,0.6,0.3,0.000,0.286,0.4,0.3837916666666667,0.667,0.5,0.5,0.0
1,187.0,3.0,0.500,0.000,0.0,1.000,1.0,1.000,0.000,0.000,0.000,0.6,0.000,0.000,0.429,0.500,0.000,0.6,0.000,0.222,0.286,0.4,0.3837916666666667,0.667,0.5,0.5,0.0
1,187.0,4.0,0.667,0.286,0.000,0.000,1.000,0.500,0.000,0.273,0.000,0.6,0.500,0.000,0.429,0.500,0.0,1.000,0.000,0.222,0.286,0.4,0.3837916666666667,1.000,0.000,0.5,0.0
1,187.0,5.0,0.571,0.500,0.0,1.000,1.0,0.583,0.000,1.000,0.000,0.6,1.000,0.000,1.000,0.000,0.0,1.000,1.000,0.222,0.286,1.000,0.3837916666666667,0.667,0.5,0.5,0.0
1,187.0,6.0,1.000,0.000,0.0,0.714,1.0,0.583,1.000,0.500,0.222,0.6,0.000,0.111,1.000,1.000,0.0,0.6,0.3,0.222,0.286,0.4,0.3837916666666667,0.667,0.5,0.5,0.0
1,187.0,0.0,0.000,0.105,1.000,0.000,0.667,0.000,0.250,0.000,0.500,0.4,0.000,0.000,0.000,0.500,0.000,0.167,0.000,0.278,0.458,0.25,1.000,0.25,0.667,0.000,1.000
1,187.0,1.0,0.667,0.500,0.750,0.250,0.667,0.583,0.333,0.400,0.333,0.375,0.286,0.400,0.444,0.393,0.615,0.000,0.250,0.364,0.400,0.143,0.667,0.333,0.500,0.286,1.000
1,187.0,2.0,0.4,0.000,0.000,1.000,0.667,0.000,0.317,0.314,0.250,0.4,0.278,0.000,0.333,0.500,0.571,0.167,1.000,0.278,0.500,0.25,0.75,0.25,0.667,0.333,1.0
1,187.0,3.0,0.000,0.000,0.000,0.000,0.667,0.000,0.500,0.000,1.000,0.4,1.000,0.333,0.000,0.000,0.571,1.000,1.000,0.278,0.500,0.25,0.75,0.25,0.667,0.333,1.0
1,187.0,4.0,0.333,0.200,0.000,0.222,1.000,0.286,0.294,0.200,0.667,0.000,0.000,0.455,0.333,0.250,0.571,0.000,1.000,0.000,0.667,0.25,0.75,0.25,1.000,0.333,1.0
1,187.0,5.0,0.4,0.000,0.000,0.000,0.000,0.200,0.333,0.250,1.000,0.4,0.000,0.000,0.250,0.000,0.571,0.167,0.000,1.000,0.500,0.25,0.75,0.000,0.667,0.333,1.0
1,187.0,6.0,1.000,0.000,0.000,0.222,0.667,0.667,0.400,0.500,0.000,1.000,0.667,0.000,0.333,0.368,0.571,0.000,0.250,0.000,0.458,1.000,0.75,0.25,0.667,1.000,1.0
1,187.0,0.0,0.739,0.333,0.000,0.75,0.6,0.529,0.306,0.361,0.500,0.6,0.500,0.000,0.464,0.000,0.625,0.5,1.000,0.395,1.000,0.250,0.929,0.6,0.000,0.444,1.000
1,187.0,1.0,1.000,0.500,0.500,0.750,1.000,0.778,0.333,0.414,0.444,0.600,0.700,0.281,0.400,0.188,0.571,0.400,0.333,0.355,0.394,0.750,1.000,0.429,0.400,0.167,0.429
1,187.0,2.0,1.000,0.333,1.000,0.75,0.6,0.000,0.500,0.361,0.385,0.6,1.000,0.000,0.464,0.000,0.625,0.000,0.385,0.000,0.000,0.571,0.929,0.6,0.000,0.444,0.444
1,187.0,3.0,1.000,0.500,0.000,0.75,0.000,1.000,0.167,0.200,1.000,0.6,0.667,0.500,0.500,0.000,1.000,1.000,0.000,0.667,0.500,0.571,0.000,1.000,0.500,1.000,0.444
1,187.0,4.0,0.500,0.333,0.750,1.000,0.000,0.000,0.267,0.389,0.375,0.6,0.500,0.250,0.714,0.667,0.625,0.333,0.800,0.000,0.222,0.667,1.000,0.6,0.667,1.000,0.000
1,187.0,5.0,1.000,0.250,0.500,0.000,0.6,0.529,0.200,0.167,0.000,0.6,0.250,0.250,0.464,0.241,0.625,0.5,0.333,0.800,0.375,0.000,0.929,1.000,0.500,0.444,0.444
1,187.0,6.0,0.800,0.000,0.000,1.000,0.6,0.529,0.306,0.333,0.333,0.6,0.586,0.000,0.000,1.000,0.625,0.5,0.385,0.395,0.375,0.571,0.929,0.6,0.421,0.444,0.444
1,187.0,0.0,1.000,0.458,1.000,0.375,0.625,0.313,0.3,0.4,1.000,0.667,1.000,1.000,1.000,0.303,1.000,0.000,0.000,0.000,1.000,1.0,0.857,0.333,0.462,0.667,0.375
